carga_id,temperatura_carga,velocidade_media_kmh,distancia_destino_km,atraso_horas,status_rota,sinal_satelite,tipo_carga,risco
478,32,28,1289,2,Desvio,Forte,Medicamento,Medio
479,19,85,1293,3,Normal,Forte,Medicamento,Medio
480,38,69,1319,3,Parado,Fraco,Alimento,Alto
481,3,68,1722,0,Desvio,Medio,Alimento,Medio
482,35,48,687,5,Parado,Forte,Alimento,Alto
483,17,93,1622,11,Parado,Forte,Eletronico,Alto
484,2,89,1419,9,Desvio,Fraco,Alimento,Alto
485,19,80,997,10,Normal,Forte,Medicamento,Alto
486,6,106,1479,5,Desvio,Forte,Eletronico,Medio
487,12,39,65,4,Normal,Forte,Medicamento,Medio
488,27,35,930,11,Desvio,Fraco,Medicamento,Alto
489,24,99,754,11,Parado,Fraco,Eletronico,Alto
490,10,64,1068,9,Parado,Medio,Eletronico,Alto
491,35,97,600,2,Parado,Medio,Eletronico,Alto
492,15,104,710,12,Desvio,Fraco,Alimento,Alto
493,27,100,921,3,Normal,Fraco,Alimento,Alto
494,9,119,1584,2,Desvio,Fraco,Medicamento,Alto
495,19,94,52,5,Parado,Fraco,Medicamento,Alto
496,28,40,37,3,Normal,Forte,Medicamento,Medio
497,-1,35,732,8,Normal,Forte,Alimento,Alto
498,18,79,1927,4,Desvio,Medio,Medicamento,Medio
499,26,106,940,12,Normal,Medio,Medicamento,Alto
500,16,70,1227,3,Normal,Medio,Alimento,Medio
